published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,48512367,null,"Realizing near-full density monophasic tetragonal 1.5-mol% yttria-stabilized zirconia ceramics via current-ramp flash sintering",null,"[Fei Shen Ong,Kohta Nambu,Kenta Kawamura,Kohei Hosoi,Hiroshi Masuda,Bin Feng,Koji Matsui,Yuichi Ikuhara,Hidehiro Yoshida]",null,null,"This study demonstrates the successful fabrication of near-full density monophasic tetragonal 1.5-mol% yttria-stabilized zirconia (1.5YSZ) ceramics using current-ramp flash (CRF) sintering technique. The process involved regulating Joule heating in the samples by fine-tuning the input power through an alternating current field (nominal current density: 50 mA·mm−2) within a 3-min timeframe at a furnace temperature of 1100°C. This approach effectively enhanced grain size uniformity, which is crucial for preventing sample cracking associated with spontaneous tetragonal-to-monoclinic (T→M) phase transformation, thereby promoting densification with average relative densities exceeding 99%. The highest average fracture toughness of the 1.5YSZ samples was measured at 9.2 MPa·m0.5 using the standardized single-edge pre-cracked beam method. This toughness is approximately double that of commonly used 3YSZ samples produced by CRF sintering, all of which exhibited comparable average grain sizes and relative densities. Additionally, the 1.5YSZ samples demonstrated nearly identical resistance to low-temperature degradation (LTD) compared to the 3YSZ samples after accelerated hydrothermal aging at 140°C for 15 h, roughly equivalent to 60 years at 37°C. The reduced yttria concentration in 1.5YSZ facilitates T→M phase transformation at lower stress thresholds, enhancing toughness through increased crack shielding from a larger volume fraction of transformed grains. Furthermore, the uniform yttria distribution in 1.5YSZ, revealed by scanning transmission electron microscopy, compensates for the reduced tetragonal phase stability and contributes to improved LTD resistance. Notably, these exceptional properties were achieved at a furnace temperature 300°C lower and with a sintering duration several hours shorter than those of conventionally-sintered counterparts.",null,null,2025-01-15,null,"Acta Materialia",283,null,null,null,null,null,null,scientific_journal,null,null,10.1016/j.actamat.2024.120496,1359-6454,null,null,null,false,disclosed
insert,merge,null,49031668,"High-performance solid-state electrochemical thermal switches with earth-abundant cerium oxide","High-performance solid-state electrochemical thermal switches with earth-abundant cerium oxide","[Ahrong Jeong,Mitsuki Yoshimura,Hyeonjun Kong,Zhiping Bian,Jason Tam,Bin Feng,Yuichi Ikuhara,Takashi Endo,Yasutaka Matsuo,Hiromichi Ohta]","[Ahrong Jeong,Mitsuki Yoshimura,Hyeonjun Kong,Zhiping Bian,Jason Tam,Bin Feng,Yuichi Ikuhara,Takashi Endo,Yasutaka Matsuo,Hiromichi Ohta]",null,null,null,null,null,2025-01-01,"Science Advances","Science Advances",11,null,eads6137,null,eng,true,false,scientific_journal,null,null,10.1126/sciadv.ads6137,null,null,https://www.science.org/doi/10.1126/sciadv.ads6137,null,false,disclosed
insert,merge,null,48512370,null,"Atomic and electronic structures of inversion domain boundary in MgO doped AlN",null,"[D. Kato,B. Feng,T. Nishi,Y. Noritake,T. Hishida,N. Shibata,K. Matsunaga,Y. Ikuhara]",null,null,"AlN has been used as electrostatic chucks due to its high volume resistivity. It has been reported that the doping of MgO can further increase the volume resistivity even at high temperature. The enhancement was proposed to be correlated with its internal defects: inversion domain boundaries (IDBs), but the detailed mechanism is still not clear. In this study, we clarify the origin of increased volume resistivity from the atomic and electronic structures of the IDBs. We performed atomic-scale structural analysis of IDBs in MgO doped AlN using aberration corrected scanning transmission electron microscope (STEM) and energy dispersive X-ray spectroscopy (EDS). It was found that two types of IDBs coexist alternately in the MgO doped AlN, with strong segregation of Mg and O at both IDBs. Furthermore, band structure calculations were performed using the hybrid density functional theory (hybrid DFT) method, and it was found that the interfacial segregation of Mg and O may form a potential barrier at the IDB. These results suggest that the segregation of Mg and O at IDBs should be the origin of increased volume resistivity in the MgO doped AlN.",null,null,2024-12-01,null,"Acta Materialia",281,null,null,null,null,null,null,scientific_journal,null,null,10.1016/j.actamat.2024.120371,1359-6454,null,null,null,false,disclosed
insert,merge,null,48267744,null,"Direct observation of space-charge-induced electric fields at oxide grain boundaries",null,"[Satoko Toyama,Takehito Seki,Bin Feng,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,"Springer Science and Business Media LLC",2024-10-18,null,"Nature Communications",15,1,null,null,null,null,null,scientific_journal,null,null,10.1038/s41467-024-53014-w,null,2041-1723,https://www.nature.com/articles/s41467-024-53014-w.pdf,https://www.nature.com/articles/s41467-024-53014-w,false,disclosed
insert,merge,null,47636200,null,"Fabrication of 3YSZ with single tetragonal phase by ultrafast high-temperature sintering",null,"[Ryuhei Murakami,Bin Feng,Koji Matsui,Shun Kondo,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2024-10,null,"Ceramics International",50,19,37308,37313,null,null,null,scientific_journal,null,null,10.1016/j.ceramint.2024.04.118,0272-8842,null,null,null,false,disclosed
insert,merge,null,48512374,null,"Atomic-engineered gradient tunable solid-state metamaterials",null,"[Zhiyuan Yan,Albertus Denny Handoko,Weikang Wu,Chuchu Yang,Hao Wang,Meltem Yilmaz,Zhiyong Zhang,Libo Cheng,Xinbin Cheng,Ghim Wei Ho,Bin Feng,Naoya Shibata,Rong Zhao,Joel K.W. Yang,Chong Tow Chong,Yuichi Ikuhara,Cheng Wei Qiu]",null,null,"Metamaterial has been captivated a popular notion, offering photonic functionalities beyond the capabilities of natural materials. Its desirable functionality primarily relies on well-controlled conditions such as structural resonance, dispersion, geometry, filling fraction, external actuation, etc. However, its fundamental building blocks—meta-atoms—still rely on naturally occurring substances. Here, we propose and validate the concept of gradient and reversible atomic-engineered metamaterials (GRAM), which represents a platform for continuously tunable solid metaphotonics by atomic manipulation. GRAM consists of an atomic heterogenous interface of amorphous host and noble metals at the bottom, and the top interface was designed to facilitate the reversible movement of foreign atoms. Continuous and reversible changes in GRAM’s refractive index and atomic structures are observed in the presence of a thermal field. We achieve multiple optical states of GRAM at varying temperature and time and demonstrate GRAM-based tunable nanophotonic devices in the visible spectrum. Further, high-efficiency and programmable laser raster-scanning patterns can be locally controlled by adjusting power and speed, without any mask-assisted or complex nanofabrication. Our approach casts a distinct, multilevel, and reversible postfabrication recipe to modify a solid material’s properties at the atomic scale, opening avenues for optical materials engineering, information storage, display, and encryption, as well as advanced thermal optics and photonics.",null,null,2024-09-24,null,"Proceedings of the National Academy of Sciences of the United States of America",121,39,null,null,null,null,null,scientific_journal,null,null,10.1073/pnas.2408974121,0027-8424,1091-6490,null,null,false,disclosed
insert,merge,null,47883324,null,"Real‐Space Tilting Method for Atomic Resolution STEM Imaging of Nanocrystalline Materials",null,"[Jiake Wei,Zhangze Xu,Wenjie Shen,Bin Feng,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara,Xuedong Bai]",null,null,"Abstract

Atomic‐resolution scanning transmission electron microscopy (STEM) characterization requires precise tilting of the specimen to a high symmetric zone axis, which is usually processed in reciprocal space by following the diffraction patterns. However, for small‐sized nanocrystalline materials, their diffraction patterns are often too faint to guide the tilting process. Here, a simple and effective tilting method is developed based on the diffraction contrast change of the shadow image in the Ronchigram. The misorientation angle of the specimen can be calculated and tilted to the zone axis based on the position of the shadow image with lowest intensity. This method requires no prior knowledge of the sample and the maximum misorientation angle that can be corrected is &gt;±6.9° with sub‐mrad accuracy. It operates in real space, without recording the diffraction patterns of the specimens, making it particularly effective for nanocrystalline materials. Combined with the scripting to control the microscope, the sample can be automatically tilted to the zone axis under low dose conditions (&lt;0.17 e<sup>−</sup> Å<sup>−</sup><sup>2</sup> s<sup>−1</sup>), facilitating the imaging of beam sensitive materials such as zeolites or metal‐organic frameworks. This automated tilting method can significantly contribute to the atomic‐scale characterization of the nanocrystalline materials by STEM imaging.",null,Wiley,2024-09-09,null,"Small Methods",null,null,null,null,null,null,null,scientific_journal,null,null,10.1002/smtd.202401023,2366-9608,2366-9608,https://onlinelibrary.wiley.com/doi/pdf/10.1002/smtd.202401023,null,false,disclosed
insert,merge,null,47636223,null,"Dopant-impurity interactions on grain boundary segregation in alumina",null,"[Chuchu Yang,Bin Feng,Jiake Wei,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2024-05,null,"Journal of Materials Science &amp; Technology",181,null,58,62,null,null,null,scientific_journal,null,null,10.1016/j.jmst.2023.08.066,1005-0302,null,null,null,false,disclosed
insert,merge,null,47636179,null,"Nanoscale Localized Phonons at Al<sub>2</sub>O<sub>3</sub> Grain Boundaries",null,"[Jingyuan Yan,Ruochen Shi,Jiake Wei,Yuehui Li,Ruishi Qi,Mei Wu,Xiaomei Li,Bin Feng,Peng Gao,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"American Chemical Society (ACS)",2024-03-11,null,"Nano Letters",24,11,3323,3330,null,null,null,scientific_journal,null,null,10.1021/acs.nanolett.3c04149,1530-6984,1530-6992,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.3c04149,null,false,disclosed
insert,merge,null,47636189,null,"Atomistic Investigation of Grain Boundary Fracture in Alumina",null,"[Jingyuan Yan,Shun Kondo,Bin Feng,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"American Chemical Society (ACS)",2024-02-28,null,"Nano Letters",24,10,3112,3117,null,null,null,scientific_journal,null,null,10.1021/acs.nanolett.3c04875,1530-6984,1530-6992,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.3c04875,null,false,disclosed
insert,merge,null,47636217,null,"The atomic and electronic band structures in Ca/Si-doped and Ca/Si/Ti-doped Al2O3 grain boundaries",null,"[Chuchu Yang,Bin Feng,Toshihiro Futazuka,Jiake Wei,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2024-02,null,"Journal of the European Ceramic Society",44,2,1005,1011,null,null,null,scientific_journal,null,null,10.1016/j.jeurceramsoc.2023.09.011,0955-2219,null,null,null,false,disclosed
insert,merge,null,48512383,null,"Unusual Crystal Orientation in Hexagonal HoFeO<inf>3</inf> Multiferroic Films and the Effect on Magnetism",null,"[Binjie Chen,Jinghuang Lin,Bin Feng,Yuichi Ikuhara,Hiromichi Ohta,Tsukasa Katayama]",null,null,"Controlling the crystal orientations of ferroic oxides with ferroelectricity or ferromagnetism is essential for various applications. Epitaxial growth is a valuable method for achieving an alignment. In this study, we focused on hexagonal (h-) HoFeO3, which is an intriguing multiferroic material that exhibits room-temperature ferroelectricity, an antiferromagnetic (AFM)-to-weak-ferromagnetic (wFM) phase transition, and strong magnetoelectric coupling. We fabricated h-HoFeO3 films on an Al2O3(001) substrate with a hexagonal structure. Initially, we expected the a- and c-axes of the film to align parallel to the [100]Al2O3 or [120]Al2O3 directions and the out-of-plane direction, respectively. However, our investigation revealed an unusual crystal orientation: the a-axis of the film was tilted by +5° or −5° relative to the [120]Al2O3 direction, while the c-axis remained parallel to the out-of-plane direction. This unique orientation was stabilized by a large-period lattice matching between the film and substrate. Plan-view transmission electron microscopy measurements indicated that the grain boundaries formed by the two grain types possessed a new cation network. This network significantly influenced the magnetic properties of the film. For instance, the stable phase in the film at low temperatures shifted from AFM to wFM, which was attributed to the emergence of this new magnetic network at the grain boundaries.",null,null,2024,null,"Crystal Growth and Design",null,null,null,null,null,null,null,scientific_journal,null,null,10.1021/acs.cgd.4c00930,1528-7483,1528-7505,null,null,false,disclosed
insert,merge,null,47636262,null,"High-mobility rutile SnO2 epitaxial films grown on (1−100) α-Al2O3",null,"[Binjie Chen,Jinghuang Lin,Bin Feng,Yuichi Ikuhara,Hiromichi Ohta]",null,null,null,null,"Ceramic Society of Japan",2023-10-01,null,"Journal of the Ceramic Society of Japan",131,10,640,644,null,null,null,scientific_journal,null,null,10.2109/jcersj2.23035,1882-0743,1348-6535,https://www.jstage.jst.go.jp/article/jcersj2/131/10/131_23035/_pdf,null,false,disclosed
insert,merge,null,47636254,null,"The effect of annealing atmospheres on the segregation behaviors in Ti-doped α-Al&lt;sub&gt;2&lt;/sub&gt;O&lt;sub&gt;3&lt;/sub&gt; grain boundary",null,"[Chuchu Yang,Bin Feng,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Ceramic Society of Japan",2023-10-01,null,"Journal of the Ceramic Society of Japan",131,10,608,612,null,null,null,scientific_journal,null,null,10.2109/jcersj2.23054,1882-0743,1348-6535,https://www.jstage.jst.go.jp/article/jcersj2/131/10/131_23054/_pdf,null,false,disclosed
